,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked
0,0.0,1.0,1.0,0.2711736617240512,0.125,0.0,0.014151057562208049,1.0
1,1.0,0.0,0.0,0.4722292033174164,0.125,0.0,0.13913573538264068,0.0
2,1.0,1.0,0.0,0.32143754712239253,0.0,0.0,0.015468569817999833,1.0
3,1.0,0.0,0.0,0.4345312892686604,0.125,0.0,0.10364429745562033,1.0
4,0.0,1.0,1.0,0.4345312892686604,0.0,0.0,0.015712553569072387,1.0
5,0.0,1.0,1.0,0.34656948982156316,0.0,0.0,0.01650950209357577,0.5
6,0.0,0.0,1.0,0.6732847449107816,0.0,0.0,0.10122885832000206,1.0
7,0.0,1.0,1.0,0.01985423473234481,0.375,0.16666666666666666,0.04113566043083236,1.0
8,1.0,1.0,0.0,0.33400351847197784,0.0,0.3333333333333333,0.021730754366528396,1.0
9,1.0,0.5,0.0,0.17064589092736868,0.125,0.0,0.058694292654020104,0.0
10,1.0,1.0,0.0,0.04498617743151546,0.125,0.16666666666666666,0.03259622914329302,1.0
11,1.0,0.0,0.0,0.723548630309123,0.0,0.0,0.051822148727810165,1.0
12,0.0,1.0,1.0,0.24604171902488062,0.0,0.0,0.015712553569072387,1.0
13,0.0,1.0,1.0,0.4847951746670017,0.125,0.8333333333333333,0.06104473451835265,1.0
14,0.0,1.0,0.0,0.17064589092736868,0.0,0.0,0.015330377421392339,1.0
15,1.0,0.5,0.0,0.685850716260367,0.0,0.0,0.03122992013728673,1.0
16,0.0,1.0,1.0,0.01985423473234481,0.5,0.16666666666666666,0.05684821399990475,0.5
17,1.0,0.5,1.0,0.34656948982156316,0.0,0.0,0.025374310111545468,1.0
18,0.0,1.0,0.0,0.38426740387031916,0.125,0.0,0.03513366015444757,1.0
19,1.0,1.0,0.0,0.34656948982156316,0.0,0.0,0.014102260811993537,0.0
20,0.0,0.5,1.0,0.4345312892686604,0.0,0.0,0.050748620223090936,1.0
21,1.0,0.5,1.0,0.4219653179190751,0.0,0.0,0.025374310111545468,1.0
22,1.0,1.0,0.0,0.18321186227695402,0.0,0.0,0.015671954672893913,0.5
23,1.0,0.0,1.0,0.34656948982156316,0.0,0.0,0.06929138530460494,1.0
24,0.0,1.0,0.0,0.09525006282985675,0.375,0.16666666666666666,0.04113566043083236,1.0
25,1.0,1.0,0.0,0.4722292033174164,0.125,0.8333333333333333,0.06126431989431795,1.0
26,0.0,1.0,1.0,0.34656948982156316,0.0,0.0,0.014102260811993537,0.0
27,0.0,0.0,1.0,0.2334757476752953,0.375,0.3333333333333333,0.5133418122566507,1.0
28,1.0,1.0,0.0,0.34656948982156316,0.0,0.0,0.01537917417160685,0.5
29,0.0,1.0,1.0,0.34656948982156316,0.0,0.0,0.015411575213749286,1.0
30,0.0,0.0,1.0,0.49736114601658704,0.0,0.0,0.05410739813385612,0.0
31,1.0,0.0,0.0,0.34656948982156316,0.125,0.0,0.2859895551532101,0.0
32,1.0,1.0,0.0,0.34656948982156316,0.0,0.0,0.015126992566498259,0.5
33,0.0,0.5,1.0,0.8240764011058055,0.0,0.0,0.020494635090094415,1.0
34,0.0,0.0,1.0,0.34656948982156316,0.125,0.0,0.16038672010106003,0.0
35,0.0,0.0,1.0,0.5224930887157577,0.125,0.0,0.10149724044618187,1.0
36,1.0,1.0,1.0,0.34656948982156316,0.0,0.0,0.014110458666029575,0.0
37,0.0,1.0,1.0,0.2586076903744659,0.0,0.0,0.015712553569072387,1.0
38,0.0,1.0,0.0,0.22090977632571,0.25,0.0,0.03513366015444757,1.0
39,1.0,1.0,0.0,0.17064589092736868,0.125,0.0,0.021942337075458514,0.0
40,0.0,1.0,0.0,0.49736114601658704,0.125,0.0,0.018493968331299484,1.0
41,0.0,0.5,0.0,0.33400351847197784,0.125,0.0,0.04098927018018883,1.0
42,0.0,1.0,1.0,0.34656948982156316,0.0,0.0,0.015411575213749286,0.0
43,1.0,0.5,0.0,0.032420206081930136,0.125,0.3333333333333333,0.08115719346076702,0.0
44,1.0,1.0,0.0,0.2334757476752953,0.0,0.0,0.01537917417160685,0.5
45,0.0,1.0,1.0,0.34656948982156316,0.0,0.0,0.015712553569072387,1.0
46,0.0,1.0,1.0,0.34656948982156316,0.125,0.0,0.030253985132996517,0.5
47,1.0,1.0,0.0,0.34656948982156316,0.0,0.0,0.015126992566498259,0.5
48,0.0,1.0,1.0,0.34656948982156316,0.25,0.0,0.04231498029001666,0.0
49,0.0,1.0,0.0,0.22090977632571,0.125,0.0,0.034743286152731485,1.0
50,0.0,1.0,1.0,0.08268409148027142,0.5,0.16666666666666666,0.07746484096553544,1.0
51,0.0,1.0,1.0,0.2586076903744659,0.0,0.0,0.01522458606692728,1.0
52,1.0,0.0,0.0,0.610454888162855,0.125,0.0,0.1497654242623688,0.0
53,1.0,0.5,0.0,0.35913546117114853,0.125,0.0,0.050748620223090936,1.0
54,0.0,0.0,1.0,0.8115104297562202,0.0,0.16666666666666666,0.1209753416358076,0.0
55,1.0,0.0,1.0,0.34656948982156316,0.0,0.0,0.06929138530460494,1.0
56,1.0,0.5,0.0,0.2586076903744659,0.0,0.0,0.020494635090094415,1.0
57,0.0,1.0,1.0,0.35285247549635584,0.0,0.0,0.014110458666029575,0.0
58,1.0,0.5,0.0,0.05755214878110078,0.125,0.3333333333333333,0.05416439273810667,1.0
59,0.0,1.0,1.0,0.1329479768786127,0.625,0.3333333333333333,0.09154270340242172,1.0
60,0.0,1.0,1.0,0.2711736617240512,0.0,0.0,0.014110458666029575,0.0
61,0.0,0.0,1.0,0.5601910027645137,0.125,0.0,0.16293234896625058,1.0
62,0.0,1.0,1.0,0.04498617743151546,0.375,0.3333333333333333,0.05445717323939373,1.0
63,0.0,0.0,1.0,0.34656948982156316,0.0,0.0,0.05410739813385612,0.0
64,1.0,1.0,1.0,0.34656948982156316,0.125,0.16666666666666666,0.029757819776815374,0.0
65,1.0,0.5,0.0,0.35913546117114853,0.0,0.0,0.020494635090094415,1.0
66,0.0,1.0,1.0,0.2334757476752953,0.0,0.0,0.015923941091001644,1.0
67,1.0,1.0,0.0,0.20834380497612465,0.5,0.3333333333333333,0.015468569817999833,1.0
68,0.0,1.0,1.0,0.32143754712239253,0.25,0.0,0.016908073949327893,1.0
69,0.0,0.5,1.0,0.39683337521990447,0.0,0.0,0.020494635090094415,1.0
70,0.0,1.0,0.0,0.19577783362653933,0.625,0.3333333333333333,0.09154270340242172,1.0
71,0.0,0.5,1.0,0.2586076903744659,0.0,0.0,0.1434624456306609,1.0
72,0.0,1.0,1.0,0.32143754712239253,0.125,0.0,0.028212719478023115,0.0
73,1.0,1.0,1.0,0.39683337521990447,0.0,0.0,0.11027245763075773,1.0
74,0.0,1.0,1.0,0.3088715757728072,0.0,0.0,0.014931805565640218,1.0
75,0.0,1.0,1.0,0.34656948982156316,0.0,0.0,0.015411575213749286,1.0
76,0.0,1.0,1.0,0.34656948982156316,0.0,0.0,0.015712553569072387,1.0
77,1.0,0.5,1.0,0.005152048253329982,0.0,0.3333333333333333,0.056604230248832196,1.0
78,1.0,1.0,0.0,0.37170143252073384,0.0,0.0,0.024349578357040744,1.0
79,0.0,1.0,1.0,0.2711736617240512,0.0,0.0,0.017566830077223785,1.0
80,1.0,1.0,1.0,0.35913546117114853,0.0,0.0,0.018542765081513996,1.0
81,1.0,1.0,0.0,0.34656948982156316,0.0,0.0,0.015200187691820024,0.5
82,0.0,0.0,1.0,0.34656948982156316,0.0,0.0,0.09193307740413781,1.0
83,1.0,0.5,0.0,0.20834380497612465,0.0,0.0,0.020494635090094415,1.0
84,1.0,1.0,0.0,0.4093993465694898,0.375,0.0,0.030937139635999665,1.0
85,0.0,1.0,1.0,0.19577783362653933,0.125,0.5,0.06709553154495196,1.0
86,0.0,1.0,1.0,0.34656948982156316,0.0,0.0,0.015712553569072387,1.0
87,1.0,0.0,0.0,0.2837396330736366,0.375,0.3333333333333333,0.5133418122566507,1.0
88,0.0,1.0,1.0,0.2963056044232219,0.0,0.0,0.015712553569072387,1.0
89,0.0,1.0,1.0,0.35913546117114853,0.0,0.0,0.015712553569072387,1.0
90,0.0,1.0,1.0,0.24604171902488062,0.0,0.0,0.015330377421392339,1.0
91,0.0,0.0,1.0,0.5727569741140991,0.125,0.0,0.11940564777490723,1.0
92,0.0,1.0,1.0,0.32143754712239253,0.125,0.3333333333333333,0.04015972542654215,1.0
93,0.0,1.0,1.0,0.7361146016587082,0.0,0.0,0.014151057562208049,1.0
94,0.0,1.0,1.0,0.34656948982156316,0.0,0.0,0.015712553569072387,1.0
95,0.0,0.0,1.0,0.8869062578537321,0.0,0.0,0.06764049365134761,0.0
96,1.0,0.0,1.0,0.2837396330736366,0.0,0.16666666666666666,0.12366716556464086,0.0
97,1.0,0.5,0.0,0.4219653179190751,0.0,0.16666666666666666,0.044893010197349675,1.0
98,0.0,0.5,1.0,0.4219653179190751,0.125,0.0,0.050748620223090936,1.0
99,0.0,1.0,0.0,0.34656948982156316,0.0,0.0,0.015411575213749286,1.0
100,0.0,1.0,1.0,0.34656948982156316,0.0,0.0,0.015411575213749286,1.0
101,0.0,0.0,1.0,0.2586076903744659,0.0,0.16666666666666666,0.15085515328815924,1.0
102,0.0,1.0,1.0,0.4093993465694898,0.0,0.0,0.016891873428256675,1.0
103,0.0,1.0,1.0,0.4596632319678311,0.25,0.0,0.015468569817999833,1.0
104,0.0,1.0,1.0,0.34656948982156316,0.0,0.0,0.015411575213749286,1.0
105,1.0,1.0,0.0,0.2586076903744659,0.0,0.0,0.014931805565640218,1.0
106,1.0,1.0,1.0,0.34656948982156316,0.0,0.0,0.015175789316712771,1.0
